"","param","conf_lower","conf_upper","method","estimate","species","trait"
"72","ctmax",31.042,34.7268835255251,"residual bootstrap",33.111,"Planococcus citri","juvenile development rate"
"73","thermal_safety_margin",2.5,7.80763915420671,"residual bootstrap",5.649,"Planococcus citri","juvenile development rate"
"74","thermal_tolerance",25.730692034842,35.3080357955594,"residual bootstrap",31.361,"Planococcus citri","juvenile development rate"
"75","breadth",3.345,5.39214968516692,"residual bootstrap",4.735,"Planococcus citri","juvenile development rate"
"76","r_tref",0.012065484592526,0.0158982416904946,"residual bootstrap",0.0145876396771079,"Planococcus citri","juvenile development rate"
"77","e",0.772249945236081,1.02420831846978,"residual bootstrap",0.863456972691232,"Planococcus citri","juvenile development rate"
"78","eh",6.02325134310866,20,"residual bootstrap",8.21801381653609,"Planococcus citri","juvenile development rate"
"79","rmax",0.0770203040310123,0.103408603480403,"residual bootstrap",0.0882436114122302,"Muscidifurax zaraptor","juvenile development rate"
"80","topt",31.8155615922689,32.3497803748957,"residual bootstrap",32.038,"Muscidifurax zaraptor","juvenile development rate"
"81","ctmin",-4.60752144984183,9.22556610261939,"residual bootstrap",2.819,"Muscidifurax zaraptor","juvenile development rate"
"82","ctmax",34.4268849973238,35.0420688423472,"residual bootstrap",34.662,"Muscidifurax zaraptor","juvenile development rate"
"83","thermal_safety_margin",2.537,2.71361763557341,"residual bootstrap",2.624,"Muscidifurax zaraptor","juvenile development rate"
"84","thermal_tolerance",25.4016214668998,39.966202302325,"residual bootstrap",31.843,"Muscidifurax zaraptor","juvenile development rate"
"85","breadth",3.07646958852999,4.54239249853196,"residual bootstrap",3.717,"Muscidifurax zaraptor","juvenile development rate"
"86","r_tref",0.0115942569203255,0.0243862355626138,"residual bootstrap",0.0168427375480678,"Muscidifurax zaraptor","juvenile development rate"
"87","e",0.54302646424714,0.979007629342138,"residual bootstrap",0.753945893620836,"Muscidifurax zaraptor","juvenile development rate"
"88","rmax",0.163867254757185,0.191298038869205,"residual bootstrap",0.177432627046584,"Aphis nasturtii","juvenile development rate"
"89","topt",29.8769054470023,31.9794928962317,"residual bootstrap",30.874,"Aphis nasturtii","juvenile development rate"
"90","ctmin",-9.33269788911436,2.06005756627354,"residual bootstrap",-3.096,"Aphis nasturtii","juvenile development rate"
"91","ctmax",44.1976648671975,81.2224131758289,"residual bootstrap",53.713,"Aphis nasturtii","juvenile development rate"
"92","thermal_safety_margin",13.084095836974,51.2298141937413,"residual bootstrap",22.839,"Aphis nasturtii","juvenile development rate"
"93","thermal_tolerance",47.8939438770056,78.1860745549923,"residual bootstrap",56.809,"Aphis nasturtii","juvenile development rate"
"94","breadth",7.80626082447402,11.377567304581,"residual bootstrap",9.828,"Aphis nasturtii","juvenile development rate"
"95","r_tref",0.0500460374567264,0.0659049123007207,"residual bootstrap",0.0588587833536001,"Aphis nasturtii","juvenile development rate"
"96","e",0.568157562209325,1.04924540606068,"residual bootstrap",0.701485800865685,"Aphis nasturtii","juvenile development rate"
"97","eh",1.49625915307409,4.22121983869037,"residual bootstrap",2.26233109461921,"Aphis nasturtii","juvenile development rate"
"98","rmax",0.187479490595027,0.202273192753033,"residual bootstrap",0.195932374689913,"Rhopalosiphum maidis","juvenile development rate"
"99","topt",27.3510499558825,28.55309427544,"residual bootstrap",27.926,"Rhopalosiphum maidis","juvenile development rate"
"100","ctmin",-4.44148385360546,0.568808570455611,"residual bootstrap",-1.773,"Rhopalosiphum maidis","juvenile development rate"
"101","ctmax",48.8392178081768,61.0432068829531,"residual bootstrap",52.874,"Rhopalosiphum maidis","juvenile development rate"
"102","thermal_safety_margin",20.3375613306183,33.0423833952776,"residual bootstrap",24.948,"Rhopalosiphum maidis","juvenile development rate"
"103","thermal_tolerance",51.3224236177026,62.43,"residual bootstrap",54.647,"Rhopalosiphum maidis","juvenile development rate"
