"","param","conf_lower","conf_upper","method","estimate","species","trait"
"151","rmax",64.0501314704195,99.1068643704421,"residual bootstrap",76.9735560144403,"Scapsipedus icipe","adult mortality rate"
"152","topt",16.6310678695779,23.8946473251806,"residual bootstrap",20.873,"Scapsipedus icipe","adult mortality rate"
"153","ctmin",9.50244760989983,19.1295453149924,"residual bootstrap",13.746,"Scapsipedus icipe","adult mortality rate"
"154","ctmax",56.299051849344,86.485273826985,"residual bootstrap",Inf,"Scapsipedus icipe","adult mortality rate"
"155","thermal_safety_margin",33.4296816112417,66.9214486831856,"residual bootstrap",Inf,"Scapsipedus icipe","adult mortality rate"
"156","thermal_tolerance",40.8777211299178,74.2519692686259,"residual bootstrap",Inf,"Scapsipedus icipe","adult mortality rate"
"157","breadth",4.82080541310052,13.021018866954,"residual bootstrap",8.282,"Scapsipedus icipe","adult mortality rate"
"158","r_tref",77.3969487424731,172.702502541037,"residual bootstrap",110.073399055853,"Scapsipedus icipe","adult mortality rate"
"159","e",-0.750903888121259,-0.208821333050689,"residual bootstrap",-0.369411527028052,"Scapsipedus icipe","adult mortality rate"
"160","eh",-40.1063158818179,-3.31674828443091,"residual bootstrap",-6.28370420222328,"Scapsipedus icipe","adult mortality rate"
"161","rmax",69.7702735117755,95.1789012752227,"residual bootstrap",76.9143461436333,"Hyperaspis notata","adult mortality rate"
"162","topt",18.4770787242052,23.3069535774894,"residual bootstrap",21.484,"Hyperaspis notata","adult mortality rate"
"163","ctmin",-30.2879579128601,10.3702144802048,"residual bootstrap",0.344000000000001,"Hyperaspis notata","adult mortality rate"
"164","ctmax",36.0621407099713,46.579,"residual bootstrap",38.721,"Hyperaspis notata","adult mortality rate"
"165","thermal_safety_margin",13.2348690873598,25.94,"residual bootstrap",17.237,"Hyperaspis notata","adult mortality rate"
"166","thermal_tolerance",28.7953258848389,69.7167253130156,"residual bootstrap",38.377,"Hyperaspis notata","adult mortality rate"
"167","breadth",5.35711243784837,9.471,"residual bootstrap",6.978,"Hyperaspis notata","adult mortality rate"
"168","r_tref",293.819973004305,28336.6140555407,"residual bootstrap",989.85274357629,"Hyperaspis notata","adult mortality rate"
"169","e",-2.98330135973428,-1.04642644254186,"residual bootstrap",-1.81326417469666,"Hyperaspis notata","adult mortality rate"
"170","eh",-3.60192822606171,-1.95123971109423,"residual bootstrap",-2.96002468696202,"Hyperaspis notata","adult mortality rate"
"171","rmax",56.634319099337,83.3101023061611,"residual bootstrap",59.9773143033041,"Toxoptera citricida","adult mortality rate"
"172","topt",6.51326845092906,10.8406838537975,"residual bootstrap",9.915,"Toxoptera citricida","adult mortality rate"
"173","ctmin",2.17403413737577,4.66007623776621,"residual bootstrap",3.436,"Toxoptera citricida","adult mortality rate"
"174","ctmax",42.7729111528072,51.899314655027,"residual bootstrap",47.422,"Toxoptera citricida","adult mortality rate"
"175","thermal_safety_margin",32.472722011146,42.8762422242235,"residual bootstrap",37.507,"Toxoptera citricida","adult mortality rate"
"176","thermal_tolerance",39.1261369082281,48.6441261619185,"residual bootstrap",43.986,"Toxoptera citricida","adult mortality rate"
"177","breadth",3.62664049327707,6.12711391070425,"residual bootstrap",5.544,"Toxoptera citricida","adult mortality rate"
"178","r_tref",39.0922164713487,46.4071998945503,"residual bootstrap",42.0090418691374,"Toxoptera citricida","adult mortality rate"
"179","e",-0.749952246745861,-0.557387406026142,"residual bootstrap",-0.648349216136644,"Toxoptera citricida","adult mortality rate"
"180","eh",-25.6262855355776,-4.80253930651856,"residual bootstrap",-6.07518756885498,"Toxoptera citricida","adult mortality rate"
"181","rmax",102.016889420358,150.371995819199,"residual bootstrap",119.349315224656,"Ophraella communa","adult mortality rate"
"182","topt",16.2793469533973,20.314148744064,"residual bootstrap",18.5,"Ophraella communa","adult mortality rate"
"183","ctmin",-28.9541753675227,13.6019242011449,"residual bootstrap",2.061,"Ophraella communa","adult mortality rate"
"184","ctmax",39.4787336209215,67.6391756022772,"residual bootstrap",55.579,"Ophraella communa","adult mortality rate"
"185","thermal_safety_margin",21.1826782403665,49.3457359006978,"residual bootstrap",37.079,"Ophraella communa","adult mortality rate"
"186","thermal_tolerance",43.4791075804375,73.5321568129479,"residual bootstrap",53.518,"Ophraella communa","adult mortality rate"
"187","breadth",4.5286372042167,11.4680548512678,"residual bootstrap",8.53,"Ophraella communa","adult mortality rate"
"188","r_tref",102.852660219262,302.851052124261,"residual bootstrap",170.994641439317,"Ophraella communa","adult mortality rate"
"189","e",0.139273637982353,17.6854666949356,"residual bootstrap",1.77108437241435,"Ophraella communa","adult mortality rate"
"190","eh",1.59569602640501,18.2571915361223,"residual bootstrap",2.51788455038186,"Ophraella communa","adult mortality rate"
"191","rmax",65.171827658772,83.148335153441,"residual bootstrap",77.5359013216563,"Antestiopsis thunbergii","adult mortality rate"
"192","topt",19.049924253762,21.1639345242006,"residual bootstrap",20.141,"Antestiopsis thunbergii","adult mortality rate"
"193","ctmin",-12.283,16.7579429564037,"residual bootstrap",14.768,"Antestiopsis thunbergii","adult mortality rate"
"194","ctmax",38.4213276088424,56.6279499018774,"residual bootstrap",46.634,"Antestiopsis thunbergii","adult mortality rate"
"195","thermal_safety_margin",17.2413449568354,36.8163409689763,"residual bootstrap",26.493,"Antestiopsis thunbergii","adult mortality rate"
"196","thermal_tolerance",24.934732049578,47.4612048091256,"residual bootstrap",31.866,"Antestiopsis thunbergii","adult mortality rate"
"197","breadth",3.2185548522047,7.38808501596159,"residual bootstrap",4.303,"Antestiopsis thunbergii","adult mortality rate"
"198","r_tref",0.0266464626649711,33.1156430302867,"residual bootstrap",4.94497958927303,"Antestiopsis thunbergii","adult mortality rate"
"199","e",2.37524177913774,20.3911722929649,"residual bootstrap",6.88484568692132,"Antestiopsis thunbergii","adult mortality rate"
"200","eh",3.67211523434676,21.3030530067088,"residual bootstrap",7.83903456412474,"Antestiopsis thunbergii","adult mortality rate"
"201","rmax",62.7935992193566,77.3794746704525,"residual bootstrap",66.8985024827037,"Bemisia argentifolii","adult mortality rate"
"202","topt",16.0214894534955,16.5739223875951,"residual bootstrap",16.257,"Bemisia argentifolii","adult mortality rate"
"203","ctmin",13.8054044222185,14.4450656889271,"residual bootstrap",14.237,"Bemisia argentifolii","adult mortality rate"
"204","ctmax",40.0716332984262,46.1270000934191,"residual bootstrap",43.01,"Bemisia argentifolii","adult mortality rate"
"205","thermal_safety_margin",23.9420516748182,29.8960226172449,"residual bootstrap",26.753,"Bemisia argentifolii","adult mortality rate"
"206","thermal_tolerance",25.7112489358915,31.9951252973854,"residual bootstrap",28.773,"Bemisia argentifolii","adult mortality rate"
"207","breadth",2.45688145731997,3.41975437506635,"residual bootstrap",3.015,"Bemisia argentifolii","adult mortality rate"
"208","r_tref",33.1773086278712,43.8855505046153,"residual bootstrap",36.0629041184021,"Bemisia argentifolii","adult mortality rate"
"209","e",15.6961745612782,28.9456606174711,"residual bootstrap",22.052990034332,"Bemisia argentifolii","adult mortality rate"
"210","eh",16.5599205888115,29.8938725342477,"residual bootstrap",22.9528162722892,"Bemisia argentifolii","adult mortality rate"
"211","rmax",45.6134709010852,59.9438209044377,"residual bootstrap",50.6501768161479,"Dactylopius austrinus","adult mortality rate"
"212","topt",18.3510585800159,22.9027546728116,"residual bootstrap",20.38,"Dactylopius austrinus","adult mortality rate"
"213","ctmin",-26.5045589026708,15.6951149017566,"residual bootstrap",8.313,"Dactylopius austrinus","adult mortality rate"
"214","ctmax",47.2454711094303,82.279,"residual bootstrap",62.517,"Dactylopius austrinus","adult mortality rate"
"215","thermal_safety_margin",26.2840831076444,62.2951790089144,"residual bootstrap",42.137,"Dactylopius austrinus","adult mortality rate"
"216","thermal_tolerance",41.9206315483704,75.6941439849564,"residual bootstrap",54.204,"Dactylopius austrinus","adult mortality rate"
"217","breadth",4.90826873458306,11.583204673491,"residual bootstrap",7.64,"Dactylopius austrinus","adult mortality rate"
"218","r_tref",1.99609456071255,168.044848690406,"residual bootstrap",35.1748517748148,"Dactylopius austrinus","adult mortality rate"
"219","e",0.191047532755755,16.080773826119,"residual bootstrap",2.73690811469613,"Dactylopius austrinus","adult mortality rate"
"220","eh",1.66082684371169,16.5992796064756,"residual bootstrap",3.38352527967725,"Dactylopius austrinus","adult mortality rate"
"221","rmax",29.4262208897788,30.8043737821399,"residual bootstrap",30.4849205488762,"Aphis gossypii","adult mortality rate"
"222","topt",11.0387171842273,11.4856098819943,"residual bootstrap",11.278,"Aphis gossypii","adult mortality rate"
"223","ctmin",1.30584047319849,2.89363077378033,"residual bootstrap",2.315,"Aphis gossypii","adult mortality rate"
"224","ctmax",47.5498589364055,51.6159508576436,"residual bootstrap",50.102,"Aphis gossypii","adult mortality rate"
"225","thermal_safety_margin",35.952,40.4316436946963,"residual bootstrap",38.824,"Aphis gossypii","adult mortality rate"
"226","thermal_tolerance",45.4306764842075,49.373617367675,"residual bootstrap",47.787,"Aphis gossypii","adult mortality rate"
"227","breadth",6.3623042175423,7.07215433152215,"residual bootstrap",6.667,"Aphis gossypii","adult mortality rate"
"228","r_tref",803.463258974044,2430.46664925998,"residual bootstrap",1421.15068552679,"Aphis gossypii","adult mortality rate"
"229","e",3.04131009137869,4.14715968917882,"residual bootstrap",3.68054981605536,"Aphis gossypii","adult mortality rate"
"230","eh",3.75935769413412,4.79766814165071,"residual bootstrap",4.32582156161067,"Aphis gossypii","adult mortality rate"
"231","rmax",63.5526751310898,74.6220946037231,"residual bootstrap",67.7616340780721,"Aulacorthum solani","adult mortality rate"
"232","topt",6.20262985571419,7.26522250583485,"residual bootstrap",6.767,"Aulacorthum solani","adult mortality rate"
"233","ctmin",0.0989581645029461,2.43724919811967,"residual bootstrap",1.382,"Aulacorthum solani","adult mortality rate"
"234","ctmax",39.3852126369018,53.349,"residual bootstrap",43.306,"Aulacorthum solani","adult mortality rate"
"235","thermal_safety_margin",32.2886262511561,46.536,"residual bootstrap",36.539,"Aulacorthum solani","adult mortality rate"
