"","param","conf_lower","conf_upper","method","estimate","species","trait"
"161","ctmax",48.4059160267638,82.2001766753024,"residual bootstrap",62.209,"Iphiseius degenerans","fecundity rate"
"162","thermal_safety_margin",22.0126661353348,57.1332712197787,"residual bootstrap",36.806,"Iphiseius degenerans","fecundity rate"
"163","thermal_tolerance",49.982229411814,77.7556193901803,"residual bootstrap",59.723,"Iphiseius degenerans","fecundity rate"
"164","breadth",9.38553075519687,12.5910625002493,"residual bootstrap",10.752,"Iphiseius degenerans","fecundity rate"
"165","r_tref",0.799449476546002,1.05622672730615,"residual bootstrap",0.925175940205296,"Iphiseius degenerans","fecundity rate"
"166","e",0.830776323593823,1.7657234061493,"residual bootstrap",1.20596670843816,"Iphiseius degenerans","fecundity rate"
"167","eh",1.81674178709033,2.27233763350534,"residual bootstrap",2.03094969364225,"Iphiseius degenerans","fecundity rate"
"168","rmax",17.2932011895326,18.3304932261889,"residual bootstrap",17.8381118887019,"Tetranychus evansi","fecundity rate"
"169","topt",34.64,34.689,"residual bootstrap",34.668,"Tetranychus evansi","fecundity rate"
"170","ctmin",2.31049284976257,5.36551111879394,"residual bootstrap",3.652,"Tetranychus evansi","fecundity rate"
"171","ctmax",37.317,37.384,"residual bootstrap",37.359,"Tetranychus evansi","fecundity rate"
"172","thermal_safety_margin",2.67,2.705,"residual bootstrap",2.691,"Tetranychus evansi","fecundity rate"
"173","thermal_tolerance",31.9591873388092,35.011,"residual bootstrap",33.707,"Tetranychus evansi","fecundity rate"
"174","breadth",3.91999740032492,4.21695483742446,"residual bootstrap",4.086,"Tetranychus evansi","fecundity rate"
"175","r_tref",2.64119495644706,3.05348340044758,"residual bootstrap",2.89140746524652,"Tetranychus evansi","fecundity rate"
"176","e",0.688903795506401,0.769765341608742,"residual bootstrap",0.721632113230187,"Tetranychus evansi","fecundity rate"
"177","rmax",45.5205265399488,55.0258167064173,"residual bootstrap",49.4958991421776,"Helicoverpa armigera","fecundity rate"
"178","topt",25.2342954263152,27.6362246107345,"residual bootstrap",26.386,"Helicoverpa armigera","fecundity rate"
"179","ctmin",1.785,12.3326164319802,"residual bootstrap",9.527,"Helicoverpa armigera","fecundity rate"
"180","ctmax",38.7351805616827,52.2598274647008,"residual bootstrap",42.083,"Helicoverpa armigera","fecundity rate"
"181","thermal_safety_margin",11.3829627474652,25.8028908015472,"residual bootstrap",15.697,"Helicoverpa armigera","fecundity rate"
"182","thermal_tolerance",28.0882407623548,38.864380385126,"residual bootstrap",32.556,"Helicoverpa armigera","fecundity rate"
"183","breadth",5.4858120512099,7.47259440724251,"residual bootstrap",6.177,"Helicoverpa armigera","fecundity rate"
"184","r_tref",5.06272754042961,12.5178882292148,"residual bootstrap",8.24373127761285,"Helicoverpa armigera","fecundity rate"
"185","e",1.08894851673583,2.42392434602549,"residual bootstrap",1.5484324624985,"Helicoverpa armigera","fecundity rate"
"186","eh",2.87594757736856,4.07828178554842,"residual bootstrap",3.53056971356824,"Helicoverpa armigera","fecundity rate"
"187","rmax",2.09191809282006,2.16026290976015,"residual bootstrap",2.11338692831,"Antestiopsis thunbergii","fecundity rate"
