"","param","conf_lower","conf_upper","method","estimate","species","trait"
"68","r_tref",135.892267692013,186.202451780874,"residual bootstrap",167.865935230373,"Muscidifurax zaraptor","juvenile mortality rate"
"69","e",0.632136257415695,0.978253664766744,"residual bootstrap",0.758637698750684,"Muscidifurax zaraptor","juvenile mortality rate"
"70","eh",4.97077483156496,8.71700881956947,"residual bootstrap",5.89377175478729,"Muscidifurax zaraptor","juvenile mortality rate"
"71","rmax",98.1248632007522,144.463691329093,"residual bootstrap",121.67159968528,"Aphis nasturtii","juvenile mortality rate"
"72","topt",12.5947610966851,18.7094958870833,"residual bootstrap",14.461,"Aphis nasturtii","juvenile mortality rate"
"73","ctmin",0.0503069514797387,8.99860472915787,"residual bootstrap",4.259,"Aphis nasturtii","juvenile mortality rate"
"74","ctmax",20.428,31.825066951581,"residual bootstrap",27.367,"Aphis nasturtii","juvenile mortality rate"
"75","thermal_safety_margin",1.891,17.6843094261981,"residual bootstrap",12.906,"Aphis nasturtii","juvenile mortality rate"
"76","thermal_tolerance",14.447,27.8135001267664,"residual bootstrap",23.108,"Aphis nasturtii","juvenile mortality rate"
"77","breadth",1.994,5.27436287825667,"residual bootstrap",4.296,"Aphis nasturtii","juvenile mortality rate"
"78","r_tref",127.665146354637,36589.4138274393,"residual bootstrap",330.181381600574,"Aphis nasturtii","juvenile mortality rate"
"79","e",1.46757083326604,9.26340700522869,"residual bootstrap",2.56157717542776,"Aphis nasturtii","juvenile mortality rate"
"80","eh",3.60265471006624,23.8115154499335,"residual bootstrap",4.63294003982445,"Aphis nasturtii","juvenile mortality rate"
"81","rmax",106.167250858641,125.055045182314,"residual bootstrap",111.78171698331,"Rhopalosiphum maidis","juvenile mortality rate"
"82","topt",22.6542695880077,28.130164277176,"residual bootstrap",23.906,"Rhopalosiphum maidis","juvenile mortality rate"
"83","ctmin",-43.76,-37.317,"residual bootstrap",-Inf,"Rhopalosiphum maidis","juvenile mortality rate"
"84","ctmax",30.6334852584139,34.3067304119923,"residual bootstrap",32.89,"Rhopalosiphum maidis","juvenile mortality rate"
"85","thermal_safety_margin",2.57102695880078,11.2787304119923,"residual bootstrap",8.984,"Rhopalosiphum maidis","juvenile mortality rate"
"86","thermal_tolerance",70.182,77.862,"residual bootstrap",Inf,"Rhopalosiphum maidis","juvenile mortality rate"
"87","breadth",9.5155560373308,14.2112602998065,"residual bootstrap",11.707,"Rhopalosiphum maidis","juvenile mortality rate"
"88","r_tref",83.6873374141334,92.3594085422912,"residual bootstrap",88.343976137442,"Rhopalosiphum maidis","juvenile mortality rate"
"89","e",0.160715181249022,0.293672327446046,"residual bootstrap",0.22968322443211,"Rhopalosiphum maidis","juvenile mortality rate"
"90","eh",4.20724043590246,24.7601508429484,"residual bootstrap",5.59565515168246,"Rhopalosiphum maidis","juvenile mortality rate"
"91","rmax",43.8869681890471,54.8342028968274,"residual bootstrap",49.5726844001078,"Aedes aegypti","juvenile mortality rate"
"92","topt",12.0465132207162,16.2345891793419,"residual bootstrap",14.802,"Aedes aegypti","juvenile mortality rate"
"93","ctmin",7.269,9.88248793448525,"residual bootstrap",9.199,"Aedes aegypti","juvenile mortality rate"
"94","ctmax",44.2281568425429,65.0402236700815,"residual bootstrap",50.046,"Aedes aegypti","juvenile mortality rate"
"95","thermal_safety_margin",28.1389833910153,46.3138737463695,"residual bootstrap",35.244,"Aedes aegypti","juvenile mortality rate"
"96","thermal_tolerance",35.2930497845328,56.2181154124909,"residual bootstrap",40.847,"Aedes aegypti","juvenile mortality rate"
"97","breadth",3.9482983755582,6.332,"residual bootstrap",5.046,"Aedes aegypti","juvenile mortality rate"
"98","r_tref",47.4194731706271,69.95810559175,"residual bootstrap",53.7703336327876,"Aedes aegypti","juvenile mortality rate"
"99","e",-0.916591302210658,-0.562577025196013,"residual bootstrap",-0.705223246831901,"Aedes aegypti","juvenile mortality rate"
"100","eh",-35.7694581386932,-5.34357428548855,"residual bootstrap",-7.35501730637247,"Aedes aegypti","juvenile mortality rate"
"101","rmax",71.4330533057174,77.6050486696531,"residual bootstrap",74.8913958027676,"Anopheles gambiae","juvenile mortality rate"
"102","topt",21.338358251314,21.9648931939399,"residual bootstrap",21.638,"Anopheles gambiae","juvenile mortality rate"
"103","ctmin",9.80082027303816,12.4362165104751,"residual bootstrap",11.397,"Anopheles gambiae","juvenile mortality rate"
"104","ctmax",35.431849420701,38.8858025654955,"residual bootstrap",37.601,"Anopheles gambiae","juvenile mortality rate"
"105","thermal_safety_margin",14.1846531568181,17.4991043158773,"residual bootstrap",15.963,"Anopheles gambiae","juvenile mortality rate"
"106","thermal_tolerance",24.3144915403877,27.5135009813328,"residual bootstrap",26.204,"Anopheles gambiae","juvenile mortality rate"
"107","breadth",4.48924581510458,5.07783114202903,"residual bootstrap",4.811,"Anopheles gambiae","juvenile mortality rate"
"108","r_tref",10.8283235131677,18.395897626841,"residual bootstrap",15.5505808169743,"Anopheles gambiae","juvenile mortality rate"
"109","e",2.32773406183714,3.53928561267966,"residual bootstrap",2.79897107780146,"Anopheles gambiae","juvenile mortality rate"
"110","eh",4.21763883051714,5.13835999017834,"residual bootstrap",4.52068583246057,"Anopheles gambiae","juvenile mortality rate"
"111","rmax",1180.13205628987,1445.02501714806,"residual bootstrap",1306.80409565648,"Anoplophora glabripennis","juvenile mortality rate"
"112","topt",20.4083029826642,22.459155129709,"residual bootstrap",21.507,"Anoplophora glabripennis","juvenile mortality rate"
"113","ctmin",-5.74100148919438,5.68574254351395,"residual bootstrap",1.268,"Anoplophora glabripennis","juvenile mortality rate"
"114","ctmax",33.9588901680892,46.8618560146662,"residual bootstrap",37.266,"Anoplophora glabripennis","juvenile mortality rate"
"115","thermal_safety_margin",12.2213469482514,26.5895639890777,"residual bootstrap",15.759,"Anoplophora glabripennis","juvenile mortality rate"
"116","thermal_tolerance",31.2583438406991,44.6703269352142,"residual bootstrap",35.998,"Anoplophora glabripennis","juvenile mortality rate"
"117","breadth",5.95719803801248,8.684,"residual bootstrap",6.823,"Anoplophora glabripennis","juvenile mortality rate"
"118","r_tref",618.158963209453,1009.02891465228,"residual bootstrap",722.608428989812,"Anoplophora glabripennis","juvenile mortality rate"
"119","e",0.813313694809329,1.83546131839201,"residual bootstrap",1.1954739431704,"Anoplophora glabripennis","juvenile mortality rate"
"120","eh",2.53085793340316,3.79016978530417,"residual bootstrap",3.18593856142635,"Anoplophora glabripennis","juvenile mortality rate"
"121","rmax",35.3588907068177,39.3425498833156,"residual bootstrap",37.3780014914719,"Culex annulirostris","juvenile mortality rate"
"122","topt",18.6872020571566,20.8374026457227,"residual bootstrap",19.846,"Culex annulirostris","juvenile mortality rate"
"123","ctmin",-20.1017028866997,-3.26967629007231,"residual bootstrap",-9.744,"Culex annulirostris","juvenile mortality rate"
"124","ctmax",45.1163934927222,55.1563345275747,"residual bootstrap",49.452,"Culex annulirostris","juvenile mortality rate"
"125","thermal_safety_margin",24.0745157811732,35.7078209530966,"residual bootstrap",29.606,"Culex annulirostris","juvenile mortality rate"
"126","thermal_tolerance",54.2750816727169,66.9300075498296,"residual bootstrap",59.196,"Culex annulirostris","juvenile mortality rate"
"127","breadth",10.1059149191441,12.6920010309021,"residual bootstrap",11.165,"Culex annulirostris","juvenile mortality rate"
"128","r_tref",32.7103093813503,49.0337524593962,"residual bootstrap",38.5706509878677,"Culex annulirostris","juvenile mortality rate"
"129","e",0.518597097903798,1.09993028457042,"residual bootstrap",0.800420990296772,"Culex annulirostris","juvenile mortality rate"
"130","eh",1.62760076938374,2.01837411400846,"residual bootstrap",1.85595304875155,"Culex annulirostris","juvenile mortality rate"
"131","rmax",67.0606016216422,75.4546740899703,"residual bootstrap",71.4950630164143,"Anthonomus grandis","juvenile mortality rate"
"132","topt",16.1510992299299,17.2745768952092,"residual bootstrap",16.633,"Anthonomus grandis","juvenile mortality rate"
"133","ctmin",5.5576216575959,8.06212037454863,"residual bootstrap",7.083,"Anthonomus grandis","juvenile mortality rate"
"134","ctmax",50.3321019468368,60.5446816032024,"residual bootstrap",55.171,"Anthonomus grandis","juvenile mortality rate"
"135","thermal_safety_margin",33.2995620522262,44.1537342555341,"residual bootstrap",38.538,"Anthonomus grandis","juvenile mortality rate"
"136","thermal_tolerance",43.6785433135833,53.8665114988041,"residual bootstrap",48.088,"Anthonomus grandis","juvenile mortality rate"
"137","breadth",6.37344144051102,7.71880399535485,"residual bootstrap",6.858,"Anthonomus grandis","juvenile mortality rate"
