curve_ID,species,standardisedtraitname,temp,z,zLwr,zUpr
5,Antestiopsis thunbergii,z,9.45945945945946,46.33339224968537,246343287.0832891,0.14411926593733004
5,Antestiopsis thunbergii,z,9.504504504504505,44.293003572083194,216300825.85378698,0.14222741070561135
5,Antestiopsis thunbergii,z,9.54954954954955,42.343082298952524,189927911.50557637,0.14036167546144065
5,Antestiopsis thunbergii,z,9.594594594594595,40.479590465551404,166777460.20400777,0.1385216964300981
5,Antestiopsis thunbergii,z,9.63963963963964,38.69867153278713,146454883.7778807,0.13670711504610478
5,Antestiopsis thunbergii,z,9.684684684684685,36.99664218240577,128448977.76199986,0.13491757787728598
5,Antestiopsis thunbergii,z,9.72972972972973,35.36998448558429,112657070.18109444,0.1331527365499056
5,Antestiopsis thunbergii,z,9.774774774774775,33.8153384279393,98810785.02008092,0.1314122476749786
5,Antestiopsis thunbergii,z,9.81981981981982,32.32949477451424,86815406.57491669,0.12969577277562125
5,Antestiopsis thunbergii,z,9.864864864864865,30.909388259283954,76454364.5716711,0.12800297821553566
5,Antestiopsis thunbergii,z,9.90990990990991,29.55209108423367,67251128.62269431,0.1263335351285098
5,Antestiopsis thunbergii,z,9.954954954954955,28.254806713926964,59085672.67547748,0.12468711934900957
5,Antestiopsis thunbergii,z,10,27.01486395198348,51913765.0897742,0.12306341134376882
5,Antestiopsis thunbergii,z,10.045045045045045,25.829711286620466,45614256.38097737,0.12146209614441841
5,Antestiopsis thunbergii,z,10.09009009009009,24.696911492937268,40080800.90599859,0.11988286328111163
5,Antestiopsis thunbergii,z,10.135135135135135,23.614136480201573,35220044.08816229,0.11832540671711676
5,Antestiopsis thunbergii,z,10.18018018018018,22.579162372985103,30950032.089158252,0.11678942478442095
5,Antestiopsis thunbergii,z,10.225225225225225,21.589864815410376,27198816.573926486,0.11527462012024464
5,Antestiopsis thunbergii,z,10.27027027027027,20.644214488378417,23903230.585572578,0.11378069960453642
5,Antestiopsis thunbergii,z,10.315315315315315,19.74027283001333,21007814.501404103,0.11230737429836772
5,Antestiopsis thunbergii,z,10.36036036036036,18.87618795008447,18463873.63124805,0.11085435938326609
5,Antestiopsis thunbergii,z,10.405405405405405,18.050190729526246,16228651.289107125,0.1094213741014205
5,Antestiopsis thunbergii,z,10.45045045045045,17.26059109664743,14264603.15950544,0.10800814169680091
5,Antestiopsis thunbergii,z,10.495495495495495,16.505774471946744,12538760.524296086,0.10661438935712793
5,Antestiopsis thunbergii,z,10.54054054054054,15.784198373874203,11022171.445370972,0.10523984815672201
5,Antestiopsis thunbergii,z,10.585585585585585,15.094389178184569,9689410.339562356,0.10388425300018037
5,Antestiopsis thunbergii,z,10.63063063063063,14.434939023907457,8518147.557856096,0.10254734256690548
5,Antestiopsis thunbergii,z,10.675675675675675,13.804502859239868,7488771.611832792,0.1012288592564377
5,Antestiopsis thunbergii,z,10.72072072072072,13.201795621010973,6584057.59425491,0.0999285491346162
5,Antestiopsis thunbergii,z,10.765765765765765,12.625589541621178,5788876.133277368,0.09864616188051556
5,Antestiopsis thunbergii,z,10.81081081081081,12.074711577677297,5089937.914899927,0.097381450734189
5,Antestiopsis thunbergii,z,10.855855855855856,11.548040954770949,4475569.417758493,0.09613417244516673
5,Antestiopsis thunbergii,z,10.9009009009009,11.044506823130519,3935516.0389597765,0.09490408722172002
5,Antestiopsis thunbergii,z,10.945945945945946,10.563086019111681,3460769.258469591,0.0936909586808899
5,Antestiopsis thunbergii,z,10.99099099099099,10.10280092769954,3043414.9007276148,0.09249455379922526
5,Antestiopsis thunbergii,z,11.036036036036036,9.662717441459273,2676499.9128544214,0.09131464286428029
5,Antestiopsis thunbergii,z,11.08108108108108,9.241943011532419,2353915.395099013,0.09015099942680159
5,Antestiopsis thunbergii,z,11.126126126126126,8.839624786520055,2070293.8966953803,0.08900340025364437
5,Antestiopsis thunbergii,z,11.17117117117117,8.454947835246825,1820919.233666027,0.08787162528135964
5,Antestiopsis thunbergii,z,11.216216216216216,8.087133449617866,1601647.29866167,0.08675545757049047
5,Antestiopsis thunbergii,z,11.26126126126126,7.735437523919687,1408836.5202178918,0.08565468326051774
5,Antestiopsis thunbergii,z,11.306306306306306,7.3991490071157555,1239286.7931677112,0.08456909152549738
5,Antestiopsis thunbergii,z,11.35135135135135,7.077588424811112,1090185.8461059795,0.08349847453032345
5,Antestiopsis thunbergii,z,11.396396396396396,6.770106467745869,959062.1383208374,0.08244262738766148
5,Antestiopsis thunbergii,z,11.441441441441441,6.476082643789412,843743.4895825511,0.08140134811549377
5,Antestiopsis thunbergii,z,11.486486486486486,6.194923990572108,742320.7435843919,0.08037443759530886
5,Antestiopsis thunbergii,z,11.531531531531531,5.926063846000797,653115.8512787818,0.07936169953089632
5,Antestiopsis thunbergii,z,11.576576576576576,5.668960674041161,574653.8353497548,0.07836294040774534
5,Antestiopsis thunbergii,z,11.621621621621621,5.423096943270376,506621.1308716388,0.07737796945305402
5,Antestiopsis thunbergii,z,11.666666666666666,5.187978055806132,447207.66885627824,0.07640659859631165
5,Antestiopsis thunbergii,z,11.711711711711711,4.963131324341469,394777.42509862024,0.07544864243047425
5,Antestiopsis thunbergii,z,11.756756756756756,4.748104995104429,348507.79395747936,0.07450391817369713
5,Antestiopsis thunbergii,z,11.801801801801801,4.542467314674085,307648.45695245883,0.07357224563164512
5,Antestiopsis thunbergii,z,11.846846846846846,4.3458056386652455,271570.11725595,0.07265344716034329
5,Antestiopsis thunbergii,z,11.891891891891891,4.157725580396643,239732.01360808397,0.0717473476295849
5,Antestiopsis thunbergii,z,11.936936936936936,3.977850197732112,211634.70760345197,0.0708537743868637
5,Antestiopsis thunbergii,z,11.981981981981981,3.8058192163781133,186837.71561234648,0.06997255722185167
5,Antestiopsis thunbergii,z,12.027027027027026,3.6412882879860198,164952.5345233932,0.06910352833138152
5,Antestiopsis thunbergii,z,12.072072072072071,3.483928281495862,145636.49431547296,0.0682465222849598
5,Antestiopsis thunbergii,z,12.117117117117116,3.333424606216457,128587.3392224557,0.06740137599077022
5,Antestiopsis thunbergii,z,12.162162162162161,3.1894765652166366,113538.45095239903,0.0665679286621882
5,Antestiopsis thunbergii,z,12.207207207207206,3.051796737657797,100254.63772241729,0.06574602178477887
5,Antestiopsis thunbergii,z,12.252252252252251,2.920110388765493,88528.42194325296,0.0649354990837784
5,Antestiopsis thunbergii,z,12.297297297297296,2.7941549061970363,78176.76737770735,0.06413620649206386
5,Antestiopsis thunbergii,z,12.342342342342342,2.6736792616112033,69038.19363412779,0.0633479921185692
5,Antestiopsis thunbergii,z,12.387387387387387,2.5584434963138576,60970.23205624923,0.0625707062171929
5,Antestiopsis thunbergii,z,12.432432432432432,2.448218229887426,53847.182529525744,0.0618042011561334
5,Antestiopsis thunbergii,z,12.477477477477477,2.342784190777564,47558.13553533015,0.06104833138769334
5,Antestiopsis thunbergii,z,12.522522522522522,2.2419317678449064,42005.22802059679,0.06030295341851379
5,Antestiopsis thunbergii,z,12.567567567567567,2.145460581942364,37102.10538378922,0.05956792578025332
5,Antestiopsis thunbergii,z,12.612612612612612,2.0531790766151903,32772.565166209686,0.058843109000683985
5,Antestiopsis thunbergii,z,12.657657657657657,1.9649041270680898,28949.360935270186,0.05812836557522444
5,Antestiopsis thunbergii,z,12.702702702702702,1.880460666575219,25573.147398610075,0.05742355993887498
5,Antestiopsis thunbergii,z,12.747747747747747,1.7996813295532774,22591.550037425888,0.05672855843857569
5,Antestiopsis thunbergii,z,12.792792792792792,1.72240611054662,19958.344528828293,0.056043229305955664
5,Antestiopsis thunbergii,z,12.837837837837837,1.6484820384134296,17632.73297355811,0.055367442630493965
5,Antestiopsis thunbergii,z,12.882882882882882,1.5777628650278877,15578.705483932055,0.05470107033305848
5,Antestiopsis thunbergii,z,12.927927927927927,1.5101087678503058,13726.576872329171,0.05404398613984385
5,Antestiopsis thunbergii,z,12.972972972972972,1.4453860657411546,12084.983992029463,0.05339606555668129
5,Antestiopsis thunbergii,z,13.018018018018017,1.3834669474262757,10640.13169797056,0.05275718584372246
5,Antestiopsis thunbergii,z,13.063063063063062,1.3242292120475854,9368.39108867916,0.05212722599050404
5,Antestiopsis thunbergii,z,13.108108108108107,1.2675560212552421,8248.97713559841,0.05150606669136015
5,Antestiopsis thunbergii,z,13.153153153153152,1.2133356623273037,7263.605686388339,0.050893590321206245
5,Antestiopsis thunbergii,z,13.198198198198197,1.1614613218210674,6423.3329058339705,0.050289680911667224
5,Antestiopsis thunbergii,z,13.243243243243242,1.1118308692862873,5682.234550601693,0.04969422412755999
5,Antestiopsis thunbergii,z,13.288288288288287,1.0643466505888504,5026.834900373482,0.049107107243711985
5,Antestiopsis thunbergii,z,13.333333333333332,1.0189152904163512,4446.456676971203,0.04852821912212501
5,Antestiopsis thunbergii,z,13.378378378378377,0.9754475035536906,3933.0387074464106,0.04795745018946337
5,Antestiopsis thunbergii,z,13.423423423423422,0.9338579145379405,3479.033289925059,0.047394692414876864
5,Antestiopsis thunbergii,z,13.468468468468467,0.8940648853170572,3077.550216718762,0.04689278229296829
5,Antestiopsis thunbergii,z,13.513513513513512,0.8559903505556269,2712.6435484277117,0.046453679058822445
5,Antestiopsis thunbergii,z,13.558558558558557,0.8195596602454349,2395.2510842006877,0.046019246507100146
5,Antestiopsis thunbergii,z,13.603603603603602,0.7847014292956276,2118.173097312208,0.04558932839677357
5,Antestiopsis thunbergii,z,13.648648648648647,0.7513473937899623,1865.6971869474323,0.045163881001704737
5,Antestiopsis thunbergii,z,13.693693693693692,0.7194322736145857,1643.3349811200642,0.0447428610794278
5,Antestiopsis thunbergii,z,13.738738738738737,0.6888936411714449,1447.531307286728,0.04432932469435835
5,Antestiopsis thunbergii,z,13.783783783783782,0.6596717959064264,1275.107355134443,0.043922589686185565
5,Antestiopsis thunbergii,z,13.828828828828827,0.6317096443929681,1123.2655895095095,0.04352001890577504
