,temp,species,estimate,rmax_upr,rmax_lwr,ksmallestimate,ksmallrmax_upr,ksmallrmax_lwr
17,20.35353535,Tetraneura nigriabdominalis,0.084419383,0.091719454,0.077269305,0.082690707,0.089159274,0.076702266
18,20.60606061,Tetraneura nigriabdominalis,0.087712461,0.094304896,0.08089522,0.085796429,0.091566789,0.080303905
19,20.85858586,Tetraneura nigriabdominalis,0.090915813,0.097008058,0.084467997,0.08882221,0.094060623,0.083534767
20,21.11111111,Tetraneura nigriabdominalis,0.094047497,0.099694461,0.08790759,0.091784663,0.09662355,0.086656888
21,21.36363636,Tetraneura nigriabdominalis,0.097122901,0.102350054,0.091193571,0.094697963,0.099183487,0.08974782
22,21.61616162,Tetraneura nigriabdominalis,0.100155109,0.105042679,0.09444844,0.097574181,0.101773212,0.092796213
23,21.86868687,Tetraneura nigriabdominalis,0.103155211,0.107837163,0.097728354,0.100423565,0.104360626,0.095804174
24,22.12121212,Tetraneura nigriabdominalis,0.106132571,0.110613397,0.100819397,0.103254784,0.107020468,0.098877575
25,22.37373737,Tetraneura nigriabdominalis,0.109095045,0.113385839,0.103904541,0.10607513,0.109680443,0.101821484
26,22.62626263,Tetraneura nigriabdominalis,0.112049181,0.116178558,0.107019743,0.108890696,0.112380918,0.104665538
27,22.87878788,Tetraneura nigriabdominalis,0.115000372,0.119070541,0.110150558,0.11170652,0.115167716,0.107508489
28,23.13131313,Tetraneura nigriabdominalis,0.117952998,0.121965486,0.113296991,0.11452671,0.117967662,0.110457245
29,23.38383838,Tetraneura nigriabdominalis,0.120910537,0.124883407,0.116414533,0.117354548,0.120751598,0.113304601
30,23.63636364,Tetraneura nigriabdominalis,0.123875661,0.127643018,0.11945287,0.120192576,0.123594859,0.116259089
31,23.88888889,Tetraneura nigriabdominalis,0.126850309,0.130529009,0.122300649,0.123042666,0.126491921,0.119161822
32,24.14141414,Tetraneura nigriabdominalis,0.129835753,0.1334206,0.125250996,0.12590607,0.129294562,0.121902698
33,24.39393939,Tetraneura nigriabdominalis,0.132832635,0.136392439,0.128217705,0.128783468,0.132184714,0.12470301
34,24.64646465,Tetraneura nigriabdominalis,0.135841003,0.139471357,0.131278665,0.131674981,0.135089688,0.127660917
35,24.8989899,Tetraneura nigriabdominalis,0.138860308,0.142733047,0.134305768,0.134580188,0.137959439,0.130549517
36,25.15151515,Tetraneura nigriabdominalis,0.141889398,0.145938832,0.137183469,0.137498101,0.140916121,0.133375803
37,25.4040404,Tetraneura nigriabdominalis,0.144926469,0.149158251,0.140289828,0.140427126,0.14403851,0.13615153
38,25.65656566,Tetraneura nigriabdominalis,0.147968977,0.152435629,0.143183541,0.143364979,0.147304369,0.138890734
39,25.90909091,Tetraneura nigriabdominalis,0.15101349,0.155705245,0.146039816,0.146308543,0.150482561,0.141568236
40,26.16161616,Tetraneura nigriabdominalis,0.154055455,0.159105241,0.148831576,0.149253649,0.153756539,0.144339655
41,26.41414141,Tetraneura nigriabdominalis,0.157088831,0.162580585,0.151605913,0.152194729,0.15703219,0.147185015
42,26.66666667,Tetraneura nigriabdominalis,0.160105536,0.165958323,0.154320347,0.155124291,0.160271986,0.149935224
43,26.91919192,Tetraneura nigriabdominalis,0.163094604,0.169321761,0.156981104,0.158032127,0.163546454,0.152643583
44,27.17171717,Tetraneura nigriabdominalis,0.166040925,0.172592209,0.15968814,0.160904121,0.166745226,0.15528194
45,27.42424242,Tetraneura nigriabdominalis,0.168923375,0.175976096,0.162337829,0.163720477,0.170048394,0.157874294
46,27.67676768,Tetraneura nigriabdominalis,0.171712064,0.17936874,0.164926285,0.166453121,0.173370558,0.160522273
47,27.92929293,Tetraneura nigriabdominalis,0.174364354,0.182748045,0.167421306,0.169061923,0.176663812,0.163061612
48,28.18181818,Tetraneura nigriabdominalis,0.176819223,0.186013472,0.169800371,0.171489365,0.179654801,0.165448009
49,28.43434343,Tetraneura nigriabdominalis,0.178989592,0.189170565,0.171901881,0.173653245,0.182614324,0.167680867
50,28.68686869,Tetraneura nigriabdominalis,0.180752442,0.192069099,0.173655833,0.175437279,0.185356593,0.169333535
51,28.93939394,Tetraneura nigriabdominalis,0.181937324,0.194617449,0.174844599,0.176680139,0.187801409,0.170643346
52,29.19191919,Tetraneura nigriabdominalis,0.182315463,0.196311445,0.175416475,0.177164986,0.18933738,0.171319837
53,29.44444444,Tetraneura nigriabdominalis,0.181594379,0.195699879,0.175043873,0.176614145,0.189499778,0.171390236
54,29.6969697,Tetraneura nigriabdominalis,0.179426125,0.190545457,0.174384578,0.174696596,0.184665686,0.171355534
55,29.94949495,Tetraneura nigriabdominalis,0.175438329,0.179965722,0.171921359,0.171057029,0.174615245,0.168838415
56,30.2020202,Tetraneura nigriabdominalis,0.169291547,0.175696741,0.147828924,0.165369915,0.170592453,0.146495526
57,30.45454545,Tetraneura nigriabdominalis,0.160751385,0.173410079,0.106901409,0.157407825,0.168278679,0.107715969
58,30.70707071,Tetraneura nigriabdominalis,0.149747036,0.170220834,0.056895153,0.147097273,0.164998642,0.060659458
59,30.95959596,Tetraneura nigriabdominalis,0.136386437,0.166390409,0.000794179,0.134533744,0.162131885,0.006671616
60,31.21212121,Tetraneura nigriabdominalis,0.120920185,0.161957974,-0.057825015,0.11994824,0.158179898,-0.049035046
61,31.46464646,Tetraneura nigriabdominalis,0.103674843,0.156890214,-0.1,0.103644595,0.154202805,-0.1
62,31.71717172,Tetraneura nigriabdominalis,0.084986715,0.151380242,-0.1,0.085936907,0.148958903,-0.1
63,31.96969697,Tetraneura nigriabdominalis,0.065156242,0.144784995,-0.1,0.067106252,0.143230696,-0.1
64,32.22222222,Tetraneura nigriabdominalis,0.044426289,0.137481369,-0.1,0.047379893,0.136374865,-0.1
65,32.47474747,Tetraneura nigriabdominalis,0.022977563,0.129480928,-0.1,0.026926698,0.128894995,-0.1
66,32.72727273,Tetraneura nigriabdominalis,0.000932628,0.120924798,-0.1,0.005860712,0.121110774,-0.1
67,32.97979798,Tetraneura nigriabdominalis,0,0.112026058,-0.1,0,0.112708953,-0.1
68,13.41414141,Anthonomus grandis,0,0.040521505,-0.1,0,0.028082105,-0.1
69,13.6969697,Anthonomus grandis,0.017772611,0.044102848,-0.1,0.006082788,0.031032324,-0.1
70,13.97979798,Anthonomus grandis,0.030954254,0.046991994,-0.1,0.019900034,0.033477539,-0.1
71,14.26262626,Anthonomus grandis,0.037464717,0.049367797,-0.080139245,0.026527701,0.035503008,-0.073794065
72,14.54545455,Anthonomus grandis,0.040800478,0.051400121,0.000529541,0.029543748,0.037386298,-0.006692557
